Id,Name,Gender,placeOfBirth,Artist Entity
657,Shusaku Arakawa,male,"Nagoya, Nihon",Q478264
14424,Kiyohiko Komura,male,0,Q64826662
16926,Len Lye,male,0,Q1288566
5672,Vladimir Mayakovsky,male,0,Q132964
18266,Mithu Sen,female,0,Q43136922
10428,Christina Broom,female,0,Q5110756
13086,Juan Downey,male,0,Q3817219
13568,Jack Goldstein,male,0,Q1677042
13736,Suzanne Lacy,female,0,Q7650894
2634,Morin,male,0,Q104382715
11737,Eduardo Salvatore,male,0,Q10270768
12947,Gunther Sander,male,0,Q61817490
2735,Stephanie Smith,female,0,Q100391910
5227,Haim Steinbach,male,0,Q5639315
11740,José Yalenti,male,0,Q20018089
18243,Amar Kanwar,male,0,Q454717
10282,Melik Ohanian,male,0,Q3305059
5669,Viktor Deni,male,0,Q503993
14825,Shelagh Wakely,female,0,Q26457496
3807,Samuel Cooper,male,0,Q1382316
12074,Gaspard Dughet,male,0,Q741375
14308,Eugenio Espinoza,male,0,Q77349603
5645,Nikolai Kogout,male,0,Q15068972
17127,Vladimir Kozlinsky,male,0,Q24351555
17008,James Orrock,male,0,Q6140661
13098,Monika Sosnowska,female,0,Q520491
18071,Richard Westmacott,male,0,Q6238282
12918,Ruth Baehnisch,female,0,Q94774202
2618,A. Belloguet,male,0,0
18264,Nikolaj Bendix Skyum Larsen,male,0,Q38054711
18242,Caroline Bergvall,female,0,Q5044980
3807,Samuel Cooper,male,0,Q1382316
14308,Eugenio Espinoza,male,0,Q77349603
6642,Josif Gerasimovich,male,0,0
18244,Lawrence Abu Hamdan,male,0,Q28124166
3819,Stephen Herwijck,male,0,Q7615415
2259,Highmore,male,0,0
13334,Enrique Huerta,male,0,Q29419664
4561,Inventory,0,0,0
5741,Sergei Ivanov,male,0,0
3092,K.O.S.,0,0,0
5676,Georgii Kibardin,male,0,0
17121,Nikolai Kochergin,male,0,Q43906005
5645,Nikolai Kogout,male,0,Q15068972
17127,Vladimir Kozlinsky,male,0,0
10957,KwieKulik,0,0,0
2633,Lairesse,male,0,Q533958
1474,Robin Laurie,male,0,0
5813,Alexander Lebedev,male,0,Q16670267
1138,London Gallery,0,0,0
1542,Alex Mackay,male,0,0
2515,A Marsingall,male,0,0
2581,J. Martin  of Canterbury,male,0,0
2516,E. Masters,male,0,0
17135,Dmitrii Melnikov,male,0,0
2538,Francis Merivale,male,0,0
5648,Dmitrii Moor,male,0,Q504262
17008,James Orrock,male,0,Q6140661
18372,Sylvia Pankhurst,female,0,Q298213
18267,Pallavi Paul,male,0,0
11736,Osmar Peçanha,male,0,0
5673,Sergei Ivanovich Pichugin,male,0,0
11741,Paulo Pires,male,0,Q77288304
12600,Olivia Plender,female,0,0
1783,Anne and Patrick Poirier,0,0,0
15967,R. H. Quaytman,female,"Boston, United States",Q13560749
18896,Hester Reeve,female,0,0
1830,Ingmar Reuter,male,0,0
13335,Emilio Rivera,male,0,0
7965,Russian School,0,0,0
17224,William Staite-Murray,male,0,Q8018707
5739,Adolf Strakhov-Braslavsky,male,0,Q4443469
11739,Dalmo Teixeira Filho,male,0,0
2537,Tollemache,0,0,0
17656,Léonard Cosme Totchemetcheho,male,0,0
17134,V.Ch.K.,0,0,0
17036,Adolphe Valette,male,0,Q3237916
17129,Vara,0,0,0
2107,Dee Villers,0,0,0
17732,Francis Vivares,male,0,Q5493438
11825,Imke Wagener,female,0,0
13099,Jakub Julian Ziolkowski,male,0,Q1267768
